NO,company_name,company_code,esg_rating,env_rating,soc_rating,gov_rating,year
1091,AJ네트웍스,095570,B+,C,A,A,2025
1090,AK홀딩스,006840,A,A,A+,B+,2025
1089,BGF,027410,A,A,A+,B+,2025
1088,BGF리테일,282330,A+,A+,A+,A,2025
1087,BGF에코머티리얼즈,126600,B,B,B,B,2025
1086,BNK금융지주,138930,A,A+,A+,A,2025
1085,BNK캐피탈,801190,등급없음,등급없음,등급없음,B+,2025
1084,BNK투자증권,014876,등급없음,등급없음,등급없음,B+,2025
1083,BYC,001460,D,D,D,C,2025
1082,CJ,001040,B+,A,A+,B,2025
1081,CJ CGV,079160,B+,A+,A+,B,2025
1080,CJ ENM,035760,B+,B+,A+,B,2025
1079,CJ 바이오사이언스,311690,B+,B,B+,B+,2025
1078,CJ대한통운,000120,B,A,A+,C,2025
1077,CJ씨푸드,011150,B+,A,A,B,2025
1076,CJ제일제당,097950,A,A,A+,A,2025
1075,CJ프레시웨이,051500,A,A,A+,B+,2025
1074,CS홀딩스,000590,C,D,D,B,2025
1073,DB,012030,C,D,B,C,2025
1072,DB생명보험,818158,등급없음,등급없음,등급없음,B,2025
1071,DB손해보험,005830,B+,A,A,B+,2025
1070,DB증권,016610,C,C,B+,C,2025
1069,DB하이텍,000990,B+,B+,A,B+,2025
1068,DH오토넥스,000300,D,D,D,D,2025
1067,DKME,015590,D,C,D,D,2025
1066,DL,000210,A,A+,A+,A,2025
1065,DL이앤씨,375500,A,A+,A+,B+,2025
1064,DN오토모티브,007340,C,B,B+,D,2025
1063,DRB동일,004840,B+,B+,A,B+,2025
1062,DSR,155660,D,C,C,D,2025
1061,DSR제강,069730,D,D,D,D,2025
1060,DS단석,017860,B+,B,B+,B+,2025
1059,DYP,092780,D,C,C,D,2025
1058,E1,017940,B+,A,A+,B,2025
1057,F&F,383220,A,A,A+,A,2025
1056,F&F 홀딩스,007700,A,A,A+,A,2025
1055,GKL,114090,A,A+,A,B+,2025
1054,GS,078930,A,B+,A+,B+,2025
1053,GS건설,006360,A,A,A+,B+,2025
1052,GS글로벌,001250,A,B+,A,A,2025
1051,GS리테일,007070,A+,A+,A+,A,2025
1050,HDC,012630,C,A,A+,D,2025
1049,HDC랩스,039570,B+,B+,A,B+,2025
1048,HDC현대EP,089470,B+,B+,B+,B,2025
1047,HDC현대산업개발,294870,A,A+,A+,B+,2025
1046,HD한국조선해양,009540,A,A,A,A,2025
1045,HD현대,267250,A,A,A+,B+,2025
1044,HD현대건설기계,267270,A,A,A+,A,2025
1043,HD현대마린엔진,071970,B,B,B+,B,2025
1042,HD현대미포,010620,A,A,A,A,2025
1041,HD현대에너지솔루션,322000,A,A,A,A,2025
1040,HD현대인프라코어,042670,A,A,A+,A,2025
1039,HD현대일렉트릭,267260,A+,A+,A+,A,2025
1038,HD현대중공업,329180,A,A,A,A,2025
1037,HJ중공업,097230,A,A,A+,B+,2025
1036,HK이노엔,195940,A,A,A+,A,2025
1035,HL D&I,014790,A+,A+,A+,A,2025
1034,HLB,028300,C,B,C,C,2025
1033,HLB글로벌,003580,D,D,D,D,2025
1032,HLB생명과학,067630,C,D,C,C,2025
1031,HLB테라퓨틱스,115450,D,C,C,D,2025
1030,HL만도,204320,A,A,A+,A,2025
1029,HL홀딩스,060980,A,A,A+,B+,2025
1028,HMM,011200,A,A,A+,A,2025
1027,HPSP,403870,C,D,C,B,2025
1026,HS애드,035000,B,C,B,B+,2025
1025,HS화성,002460,C,C,B,B,2025
1024,HS효성첨단소재,298050,A,A,A+,B+,2025
1023,INVENI,015360,B+,B+,B+,B,2025
1022,ISC,095340,C,C,A,C,2025
1021,JB금융지주,175330,A,A+,A,A,2025
1020,JW생명과학,234080,B+,B+,A,B,2025
1019,JW중외제약,001060,B+,B+,A,B+,2025
1018,JW홀딩스,096760,B+,B+,A,B+,2025
1017,JYP Ent.,035900,B+,A,A+,B,2025
1016,KBI동양철관,008970,D,C,D,D,2025
1015,KB금융,105560,A+,A+,A+,A+,2025
1014,KB손해보험,002550,등급없음,등급없음,등급없음,A,2025
1013,KCC건설,021320,C,C,C,B,2025
1012,KC그린홀딩스,009440,D,C,C,D,2025
1011,KC코트렐,119650,D,C,C,D,2025
1010,KEC,092220,D,C,D,D,2025
1009,KG모빌리언스,046440,B,C,B+,B,2025
1008,KG모빌리티,003620,C,B,B,D,2025
